model_size,corruption,severity,enhancement,n,abs_rel,rmse,delta1,abs_rel_near_field_0.25_0.70m,rmse_near_field_0.25_0.70m,delta1_near_field_0.25_0.70m,near_field_pixel_count_total
small,low_light,1,none,654,0.11979420936242065,0.5056074554903791,0.8524497682530581,,,,0
small,low_light,1,clahe,654,0.12429929902885303,0.5206245542461172,0.8455222220231269,,,,0
small,low_light,1,zero_dce,654,0.12487239448712506,0.5339445166620184,0.8439698062006245,,,,0
small,low_light,3,none,654,0.25695544151469657,0.8299765353652133,0.6161741247770133,,,,0
small,low_light,3,clahe,654,0.2512158075638047,0.8176311949547096,0.6200936992306958,,,,0
small,low_light,3,zero_dce,654,0.25479465110130634,0.8294978135746736,0.6186141473146024,,,,0
small,low_light,5,none,654,0.3469226908064034,1.0480936435749042,0.4708633917478976,,,,0
small,low_light,5,clahe,654,0.3288924015078705,0.9973107683458095,0.5099722311815112,,,,0
small,low_light,5,zero_dce,654,0.3501441654057131,1.0578769633620522,0.46391787716615696,,,,0
small,indoor_haze,1,none,654,0.2060911327355544,0.752251889123738,0.6919989119441259,,,,0
small,indoor_haze,1,clahe,654,0.2037208422374789,0.7471919489699766,0.6966644865730122,,,,0
small,indoor_haze,1,zero_dce,654,0.34968852520626986,1.0502924303031478,0.48286461319762997,,,,0
small,indoor_haze,3,none,654,0.2596277865077104,0.891145986724155,0.5872094751449414,,,,0
small,indoor_haze,3,clahe,654,0.2672531885701582,0.902565616641524,0.5841064552672656,,,,0
small,indoor_haze,3,zero_dce,654,0.33707817889955066,1.012891602955918,0.5013668639701199,,,,0
small,indoor_haze,5,none,654,0.28575994252634523,0.9476312059191389,0.5397379407970184,,,,0
small,indoor_haze,5,clahe,654,0.29035702103959676,0.9645950098490679,0.5342543432642074,,,,0
small,indoor_haze,5,zero_dce,654,0.32895833342150993,0.9933771777567696,0.5130557397187181,,,,0
small,sensor_noise,1,none,654,0.1069425350106364,0.4633082499904188,0.8798056580896406,,,,0
small,sensor_noise,1,clahe,654,0.11188760899371875,0.47729381668276016,0.8706139551876274,,,,0
small,sensor_noise,1,zero_dce,654,0.11122917084006267,0.47420780091839826,0.8703226986573013,,,,0
small,sensor_noise,3,none,654,0.11436467085728587,0.48182672450165137,0.867531860227128,,,,0
small,sensor_noise,3,clahe,654,0.12210136334146929,0.5014623094931108,0.8531452081740571,,,,0
small,sensor_noise,3,zero_dce,654,0.1170832362789262,0.4864339372456438,0.8615500067692407,,,,0
small,sensor_noise,5,none,654,0.12299822090301857,0.5040504958150219,0.8483052957361749,,,,0
small,sensor_noise,5,clahe,654,0.1414712833907079,0.5461165577583357,0.8108653030628823,,,,0
small,sensor_noise,5,zero_dce,654,0.12823796002279728,0.5124611849654522,0.8375881444715215,,,,0
small,blur,1,none,654,0.10541357880668993,0.45230964001051693,0.8811523586821483,,,,0
small,blur,1,clahe,654,0.10988692723396903,0.46185045434156324,0.8737742000350408,,,,0
small,blur,1,zero_dce,654,0.11387378347621781,0.477934309534888,0.8657695083540393,,,,0
small,blur,3,none,654,0.12254840247503934,0.476816966907557,0.8541188688599006,,,,0
small,blur,3,clahe,654,0.14390418141943598,0.5338336890250079,0.8151051770753694,,,,0
small,blur,3,zero_dce,654,0.17338368061371717,0.6084976156074156,0.7651375698824542,,,,0
small,blur,5,none,654,0.17707749160536385,0.6164115175422543,0.7609636511690877,,,,0
small,blur,5,clahe,654,0.23581291816912203,0.761611936004428,0.666425562245158,,,,0
small,blur,5,zero_dce,654,0.30802746073824183,0.9391739211224635,0.5639024870986239,,,,0
small,clean,0,none,654,0.10472731640283303,0.45496401803095227,0.8822886304631753,,,,0
small,clean,0,clahe,654,0.10796057829058042,0.459962010104494,0.8776071033225026,,,,0
small,clean,0,zero_dce,654,0.11084246461419246,0.4744274830645013,0.870643371519814,,,,0
small,low_light,1,zero_dce_trained,654,0.21642898683313747,0.724194675501698,0.6827557030851809,,,,0
small,low_light,3,zero_dce_trained,654,0.30706519703024754,0.9421912408932269,0.5444142765274592,,,,0
small,low_light,5,zero_dce_trained,654,0.3131706370183178,0.9601185398022516,0.5337853195081549,,,,0
small,indoor_haze,1,zero_dce_trained,654,0.32707829752350254,1.0099642161929279,0.5150860788576708,,,,0
small,indoor_haze,3,zero_dce_trained,654,0.33023684882538945,1.007912285739858,0.5032153494520897,,,,0
small,indoor_haze,5,zero_dce_trained,654,0.32709241132123756,0.9973638869639748,0.5078818797384683,,,,0
small,sensor_noise,1,zero_dce_trained,654,0.18538113489223002,0.6427620781374817,0.7381607824047528,,,,0
small,sensor_noise,3,zero_dce_trained,654,0.17737517211962184,0.62280959097116,0.7498262843638507,,,,0
small,sensor_noise,5,zero_dce_trained,654,0.18593454149064667,0.6494193155352675,0.7311522392249618,,,,0
small,blur,1,zero_dce_trained,654,0.20845832617024945,0.6934419814440271,0.7051827197215852,,,,0
small,blur,3,zero_dce_trained,654,0.2953226557713492,0.9024760338736966,0.5763943490777905,,,,0
small,blur,5,zero_dce_trained,654,0.3518256241375928,1.04369577051166,0.4961441957744011,,,,0
small,clean,0,zero_dce_trained,654,0.19041137659882368,0.6517872404341304,0.7333056989041794,,,,0
base,low_light,1,none,80,0.12054624434094877,0.578864574432373,0.8607230072631957,,,,0
base,low_light,1,clahe,80,0.12283150237053633,0.5768174909055233,0.8544990234375,,,,0
base,low_light,1,zero_dce,80,0.12343433359637856,0.5966094005852938,0.8579855957031249,,,,0
base,low_light,3,none,80,0.20837171063758433,0.736237488873303,0.7029123942057292,,,,0
base,low_light,3,clahe,80,0.2074415089096874,0.7323543759994209,0.7023187662760416,,,,0
base,low_light,3,zero_dce,80,0.2088536465074867,0.7463664868846536,0.6988590901692708,,,,0
base,low_light,5,none,80,0.29583259020000696,0.9727918179705739,0.5467710774739583,,,,0
base,low_light,5,clahe,80,0.2916932517662644,0.9646052986383438,0.5628269449869792,,,,0
base,low_light,5,zero_dce,80,0.29497955469414594,0.9709864074364305,0.5499886067708333,,,,0
base,indoor_haze,1,none,80,0.15806808301713318,0.6992439051158726,0.7906343180338542,,,,0
base,indoor_haze,1,clahe,80,0.152419895445928,0.6800140321254731,0.7988328857421875,,,,0
base,indoor_haze,1,zero_dce,80,0.16833064581733198,0.728977479133755,0.7879291178385417,,,,0
base,indoor_haze,3,none,80,0.21614174204878508,0.8582901457324624,0.6982422688802083,,,,0
base,indoor_haze,3,clahe,80,0.21887931870296598,0.8493834561202676,0.7005881754557292,,,,0
base,indoor_haze,3,zero_dce,80,0.255394276836887,0.9217681198380887,0.648949951171875,,,,0
base,indoor_haze,5,none,80,0.24741658489219845,0.9321315665729344,0.6511711832682292,,,,0
base,indoor_haze,5,clahe,80,0.2433810869930312,0.920767957624048,0.6501529541015625,,,,0
base,indoor_haze,5,zero_dce,80,0.27087583327665926,0.9378001485019922,0.6175303141276042,,,,0
base,sensor_noise,1,none,80,0.1113015284994617,0.5531456063501536,0.8720261021737155,,,,0
base,sensor_noise,1,clahe,80,0.11431188182905316,0.5488372092135251,0.8682316487630208,,,,0
base,sensor_noise,1,zero_dce,80,0.11216370575129986,0.5570083018392324,0.8716139596099735,,,,0
base,sensor_noise,3,none,80,0.11765281255356967,0.5681695532053709,0.8649478750154114,,,,0
base,sensor_noise,3,clahe,80,0.1205138351302594,0.5615633723326028,0.8601075032552083,,,,0
base,sensor_noise,3,zero_dce,80,0.1171931910328567,0.5675159051083029,0.8662203332951213,,,,0
base,sensor_noise,5,none,80,0.12039278242737055,0.5723426906391978,0.8623245849609376,,,,0
base,sensor_noise,5,clahe,80,0.12417911002412438,0.559473401773721,0.8519566243489584,,,,0
base,sensor_noise,5,zero_dce,80,0.12034304491244256,0.5725610309280456,0.8597107838134732,,,,0
base,blur,1,none,80,0.10804213986266405,0.5395523745566606,0.87676914763152,,,,0
base,blur,1,clahe,80,0.11101761455647648,0.5357160828541965,0.8712013478638344,,,,0
base,blur,1,zero_dce,80,0.1105707875918597,0.5501793866045773,0.8735880471728169,,,,0
base,blur,3,none,80,0.10892474020365625,0.526783792860806,0.8747349446614583,,,,0
base,blur,3,clahe,80,0.11316698540467769,0.5222026388160884,0.8660450032552083,,,,0
base,blur,3,zero_dce,80,0.1130607146769762,0.5465551099739969,0.8679568277994791,,,,0
base,blur,5,none,80,0.10705543707590551,0.47722060345113276,0.8832620442708332,,,,0
base,blur,5,clahe,80,0.12477917969226837,0.5273852456361056,0.8512559407552084,,,,0
base,blur,5,zero_dce,80,0.11400337740778924,0.5052779768127948,0.8704222819010417,,,,0
base,clean,0,none,80,0.10804178735706955,0.5408984429202974,0.8774920671793837,,,,0
base,clean,0,clahe,80,0.10954388268291951,0.5316147956065833,0.8730868764130519,,,,0
base,clean,0,zero_dce,80,0.10937158761080354,0.545209942292422,0.8757900915373659,,,,0
